timestamp, name, uuid, pstate, memory.total [MiB], memory.used [MiB], memory.free [MiB], temperature.gpu, utilization.memory [%], utilization.gpu [%], power.management, power.draw [W]
2024/10/13 03:33:31.779, NVIDIA GeForce GTX 1650, GPU-eced1bd8-b3e7-abfc-0555-6f654cee60a5, P0, 4096 MiB, 473 MiB, 3427 MiB, 50, 7 %, 25 %, Enabled, 19.46 W
2024/10/13 03:33:31.792, NVIDIA GeForce GTX 1650, GPU-eced1bd8-b3e7-abfc-0555-6f654cee60a5, P0, 4096 MiB, 473 MiB, 3427 MiB, 50, 7 %, 25 %, Enabled, 19.46 W
2024/10/13 03:33:31.805, NVIDIA GeForce GTX 1650, GPU-eced1bd8-b3e7-abfc-0555-6f654cee60a5, P0, 4096 MiB, 473 MiB, 3427 MiB, 50, 7 %, 25 %, Enabled, 19.46 W
2024/10/13 03:33:31.816, NVIDIA GeForce GTX 1650, GPU-eced1bd8-b3e7-abfc-0555-6f654cee60a5, P0, 4096 MiB, 473 MiB, 3427 MiB, 50, 7 %, 25 %, Enabled, 19.46 W
2024/10/13 03:33:31.827, NVIDIA GeForce GTX 1650, GPU-eced1bd8-b3e7-abfc-0555-6f654cee60a5, P0, 4096 MiB, 473 MiB, 3427 MiB, 50, 7 %, 25 %, Enabled, 19.46 W
2024/10/13 03:33:31.839, NVIDIA GeForce GTX 1650, GPU-eced1bd8-b3e7-abfc-0555-6f654cee60a5, P0, 4096 MiB, 473 MiB, 3427 MiB, 50, 7 %, 25 %, Enabled, 19.46 W
2024/10/13 03:33:31.850, NVIDIA GeForce GTX 1650, GPU-eced1bd8-b3e7-abfc-0555-6f654cee60a5, P0, 4096 MiB, 473 MiB, 3427 MiB, 50, 7 %, 25 %, Enabled, 19.46 W
2024/10/13 03:33:31.862, NVIDIA GeForce GTX 1650, GPU-eced1bd8-b3e7-abfc-0555-6f654cee60a5, P0, 4096 MiB, 473 MiB, 3427 MiB, 50, 7 %, 25 %, Enabled, 19.46 W
2024/10/13 03:33:31.873, NVIDIA GeForce GTX 1650, GPU-eced1bd8-b3e7-abfc-0555-6f654cee60a5, P0, 4096 MiB, 473 MiB, 3427 MiB, 50, 7 %, 25 %, Enabled, 19.46 W
2024/10/13 03:33:31.885, NVIDIA GeForce GTX 1650, GPU-eced1bd8-b3e7-abfc-0555-6f654cee60a5, P0, 4096 MiB, 481 MiB, 3419 MiB, 50, 7 %, 25 %, Enabled, 19.89 W
2024/10/13 03:33:31.897, NVIDIA GeForce GTX 1650, GPU-eced1bd8-b3e7-abfc-0555-6f654cee60a5, P0, 4096 MiB, 481 MiB, 3419 MiB, 50, 7 %, 25 %, Enabled, 19.89 W
2024/10/13 03:33:31.908, NVIDIA GeForce GTX 1650, GPU-eced1bd8-b3e7-abfc-0555-6f654cee60a5, P0, 4096 MiB, 481 MiB, 3419 MiB, 50, 7 %, 25 %, Enabled, 19.89 W
2024/10/13 03:33:31.919, NVIDIA GeForce GTX 1650, GPU-eced1bd8-b3e7-abfc-0555-6f654cee60a5, P0, 4096 MiB, 481 MiB, 3419 MiB, 50, 7 %, 25 %, Enabled, 19.89 W
2024/10/13 03:33:31.931, NVIDIA GeForce GTX 1650, GPU-eced1bd8-b3e7-abfc-0555-6f654cee60a5, P0, 4096 MiB, 481 MiB, 3419 MiB, 50, 7 %, 25 %, Enabled, 19.89 W
2024/10/13 03:33:31.942, NVIDIA GeForce GTX 1650, GPU-eced1bd8-b3e7-abfc-0555-6f654cee60a5, P0, 4096 MiB, 481 MiB, 3419 MiB, 50, 7 %, 25 %, Enabled, 19.89 W
2024/10/13 03:33:31.953, NVIDIA GeForce GTX 1650, GPU-eced1bd8-b3e7-abfc-0555-6f654cee60a5, P0, 4096 MiB, 481 MiB, 3419 MiB, 50, 7 %, 25 %, Enabled, 19.89 W
2024/10/13 03:33:31.966, NVIDIA GeForce GTX 1650, GPU-eced1bd8-b3e7-abfc-0555-6f654cee60a5, P0, 4096 MiB, 481 MiB, 3419 MiB, 50, 7 %, 25 %, Enabled, 19.89 W
2024/10/13 03:33:31.978, NVIDIA GeForce GTX 1650, GPU-eced1bd8-b3e7-abfc-0555-6f654cee60a5, P0, 4096 MiB, 481 MiB, 3419 MiB, 50, 7 %, 25 %, Enabled, 19.89 W
2024/10/13 03:33:31.989, NVIDIA GeForce GTX 1650, GPU-eced1bd8-b3e7-abfc-0555-6f654cee60a5, P0, 4096 MiB, 481 MiB, 3419 MiB, 50, 7 %, 25 %, Enabled, 19.81 W
2024/10/13 03:33:32.001, NVIDIA GeForce GTX 1650, GPU-eced1bd8-b3e7-abfc-0555-6f654cee60a5, P0, 4096 MiB, 481 MiB, 3419 MiB, 50, 7 %, 25 %, Enabled, 19.81 W
2024/10/13 03:33:32.012, NVIDIA GeForce GTX 1650, GPU-eced1bd8-b3e7-abfc-0555-6f654cee60a5, P0, 4096 MiB, 481 MiB, 3419 MiB, 50, 7 %, 25 %, Enabled, 19.81 W
2024/10/13 03:33:32.023, NVIDIA GeForce GTX 1650, GPU-eced1bd8-b3e7-abfc-0555-6f654cee60a5, P0, 4096 MiB, 481 MiB, 3419 MiB, 50, 7 %, 25 %, Enabled, 19.81 W
2024/10/13 03:33:32.035, NVIDIA GeForce GTX 1650, GPU-eced1bd8-b3e7-abfc-0555-6f654cee60a5, P0, 4096 MiB, 481 MiB, 3419 MiB, 50, 7 %, 25 %, Enabled, 19.81 W
2024/10/13 03:33:32.046, NVIDIA GeForce GTX 1650, GPU-eced1bd8-b3e7-abfc-0555-6f654cee60a5, P0, 4096 MiB, 481 MiB, 3419 MiB, 50, 7 %, 25 %, Enabled, 19.81 W
2024/10/13 03:33:32.058, NVIDIA GeForce GTX 1650, GPU-eced1bd8-b3e7-abfc-0555-6f654cee60a5, P0, 4096 MiB, 481 MiB, 3419 MiB, 50, 7 %, 25 %, Enabled, 19.81 W
2024/10/13 03:33:32.069, NVIDIA GeForce GTX 1650, GPU-eced1bd8-b3e7-abfc-0555-6f654cee60a5, P0, 4096 MiB, 481 MiB, 3419 MiB, 50, 7 %, 25 %, Enabled, 19.81 W
